{'themes': '', 'solution': 'c7c8q g8c8 f4f6 h8g8 f6e6 g8h8 e6c8 d5d8 c8d8 h7g8 d8d4 g8g7 d4g7', 'epd': '6rk/1RP4q/p7/3r4/P4Q1P/6P1/3p3K/8 w - -', 'rating': '1492.5', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 1500, 'move1cp': 1500, 'nodes': 609488, 'move1multiPV': 1, 'move1sel_depth': 37, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 773, 'move2multiPV': 2, 'move2sel_depth': 22, 'move2w': '1000', 'move2d': '0', 'move2l': '0', 'move3cp': -360, 'move3multiPV': 3, 'move3sel_depth': 34, 'move3w': '0', 'move3d': '0', 'move3l': '1000', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'h4h7 g7g8 c6d7 e7d7 h7d7 a7a6 h2h4 h8g7 d7b7 b6b5 c4b5 a6b5 b7b5 g7f8 b5b7 f8g7', 'epd': '7b/p2qr1k1/1pQ3P1/2p1p3/2P4R/6K1/6PP/8 w - -', 'rating': '1495.3', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 577, 'move1cp': 587, 'nodes': 424311, 'move1multiPV': 1, 'move1sel_depth': 41, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 335, 'move2multiPV': 2, 'move2sel_depth': 25, 'move2w': '1000', 'move2d': '0', 'move2l': '0', 'move3cp': 0, 'move3multiPV': 3, 'move3sel_depth': 22, 'move3w': '1', 'move3d': '997', 'move3l': '2', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'b3b4 a5b4 g3f2 b4b3 f2f1 b3b2 h3f2', 'epd': '8/8/3p4/p1pP4/P1P5/1P4KN/7p/7k w - -', 'rating': '1875.2', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 1500, 'move1cp': 1500, 'nodes': 246950, 'move1multiPV': 1, 'move1sel_depth': 8, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 1135, 'move2multiPV': 2, 'move2sel_depth': 53, 'move2w': '1000', 'move2d': '0', 'move2l': '0', 'move3cp': 1118, 'move3multiPV': 3, 'move3sel_depth': 49, 'move3w': '1000', 'move3d': '0', 'move3l': '0', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'c2a1 b3b4 e4b4 e7b4 c1e3 e8f8 g1h1 b4a5 e3h6 f8e7 c3e4 f7d5 g2f3 d5e4 h6h7', 'epd': '3rk1r1/1p1nbb1p/p1p2p2/P4P2/4R3/1qN5/1PN1P1BP/2Q2RK1 w - -', 'rating': '1878.1', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 371, 'move1cp': 374, 'nodes': 297974, 'move1multiPV': 1, 'move1sel_depth': 28, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 238, 'move2multiPV': 2, 'move2sel_depth': 26, 'move2w': '999', 'move2d': '1', 'move2l': '0', 'move3cp': 157, 'move3multiPV': 3, 'move3sel_depth': 29, 'move3w': '949', 'move3d': '51', 'move3l': '0', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'b7c6 d1f3 e3g4 h2h3 g4f6 f3c6 c8b8 a1d1 f8d6 d1d3 a5b6 c6c4 b6b4 c4e6 h8e8 e6f5 b4b2', 'epd': '2kr1b1r/ppp3pp/2N5/q4p2/6B1/2N1n3/PPP2PPP/R2Q1RK1 b - -', 'rating': '1878.1', 'rating_dev': 0, 'to_move': 'b', 'cp_eval': 282, 'move1cp': 295, 'nodes': 102302, 'move1multiPV': 1, 'move1sel_depth': 28, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 44, 'move2multiPV': 2, 'move2sel_depth': 24, 'move2w': '50', 'move2d': '950', 'move2l': '0', 'move3cp': -415, 'move3multiPV': 3, 'move3sel_depth': 23, 'move3w': '0', 'move3d': '0', 'move3l': '1000', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'f3g5 h7h6 g5f7 h6h7 c1g5 a2a1 g1h2 a1b1 g5g6 b1g6 h5g6', 'epd': '6r1/3b1ppk/4p3/3pP2P/8/5NR1/q4P2/2Q3K1 w - -', 'rating': '1883.3', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 1500, 'move1cp': 1500, 'nodes': 469536, 'move1multiPV': 1, 'move1sel_depth': 12, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 259, 'move2multiPV': 2, 'move2sel_depth': 19, 'move2w': '1000', 'move2d': '0', 'move2l': '0', 'move3cp': 111, 'move3multiPV': 3, 'move3sel_depth': 31, 'move3w': '669', 'move3d': '331', 'move3l': '0', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'f8h6 d2d3 d8b6 c3d5 b6d4 d3d4 c6d4 d5c7 e8d8 c7a8 h6e3 f1f2 d4e2 g1f1 e3f2 f1f2', 'epd': 'r2qkb1r/3bpp2/p1np1p2/1p3P2/3NP2p/2N5/PPPQB1PP/R4RK1 b kq -', 'rating': '2230.9', 'rating_dev': 0, 'to_move': 'b', 'cp_eval': 410, 'move1cp': 407, 'nodes': 86759, 'move1multiPV': 1, 'move1sel_depth': 27, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 166, 'move2multiPV': 2, 'move2sel_depth': 26, 'move2w': '958', 'move2d': '42', 'move2l': '0', 'move3cp': 34, 'move3multiPV': 3, 'move3sel_depth': 20, 'move3w': '42', 'move3d': '956', 'move3l': '2', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'd2h6 c3g3 h5g6 g3g6 f5g6 f7g6 h6f8', 'epd': '5r1k/1p1b1p1p/p2ppb2/5P1B/1q6/1Pr3R1/2PQ2PP/5R1K w - -', 'rating': '2233.1', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 1500, 'move1cp': 1500, 'nodes': 556817, 'move1multiPV': 1, 'move1sel_depth': 8, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': -184, 'move2multiPV': 2, 'move2sel_depth': 19, 'move2w': '0', 'move2d': '7', 'move2l': '993', 'move3cp': -299, 'move3multiPV': 3, 'move3sel_depth': 18, 'move3w': '0', 'move3d': '0', 'move3l': '1000', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'c3c2 c7d7 h5f6 d7a4 b7b5 a4c2 b2c2 d1a1 f6d5 h2g1 d5c3 e1c3 c2c3 a1d1 e8e2 g2e4 c3b2', 'epd': '4r1k1/1pQb1pp1/7p/3P3n/p7/P1pP2PP/1q3PBK/3RB3 b - -', 'rating': '2237.5', 'rating_dev': 0, 'to_move': 'b', 'cp_eval': 474, 'move1cp': 457, 'nodes': 105053, 'move1multiPV': 1, 'move1sel_depth': 28, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 13, 'move2multiPV': 2, 'move2sel_depth': 26, 'move2w': '4', 'move2d': '995', 'move2l': '1', 'move3cp': -83, 'move3multiPV': 3, 'move3sel_depth': 21, 'move3w': '0', 'move3d': '743', 'move3l': '257', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'f4h4 e6f5 e4f5 g7g6 d3d7 d8d7 f5d7 a4a2 h4f6 e8e2 d7c6 a2d2 c6b5 e2e6 f6f3', 'epd': '3rr1k1/1p3ppp/p1n1b3/2B5/qP2BQ2/3R4/P4PPP/R5K1 w - -', 'rating': '2238.5', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 392, 'move1cp': 385, 'nodes': 341401, 'move1multiPV': 1, 'move1sel_depth': 40, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 78, 'move2multiPV': 2, 'move2sel_depth': 16, 'move2w': '218', 'move2d': '782', 'move2l': '0', 'move3cp': 77, 'move3multiPV': 3, 'move3sel_depth': 24, 'move3w': '213', 'move3d': '787', 'move3l': '0', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
{'themes': '', 'solution': 'd6c7 h2h7 b3d4 e2d3 b1d1 c4d2 c7f4 d3f1 d1f1 d2f1 f4f1 a8d8 f1g2 h7h4 d4e2 d8e8 a1b1 h4e4', 'epd': 'r5k1/1p3p2/p2Q2p1/3P2P1/2n5/1N6/PP2q2r/KR3R2 w - -', 'rating': '2243.4', 'rating_dev': 0, 'to_move': 'w', 'cp_eval': 409, 'move1cp': 410, 'nodes': 322998, 'move1multiPV': 1, 'move1sel_depth': 39, 'move1w': '1000', 'move1d': '0', 'move1l': '0', 'move2cp': 144, 'move2multiPV': 2, 'move2sel_depth': 17, 'move2w': '939', 'move2d': '61', 'move2l': '0', 'move3cp': 6, 'move3multiPV': 3, 'move3sel_depth': 37, 'move3w': '3', 'move3d': '996', 'move3l': '1', 'orig_w': 1000, 'orig_d': 0, 'orig_l': 0}
